,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6,Occupied 7,Occupied 8
20,Base,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
21,Base,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
22,Grommet,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
23,Base,RF_Welder,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,RF_Welder,Mega_Stitch,,True,True,True,True,,True,
24,Base,Base,Long_Arm,Long_Arm,Long_Arm,Base,RF_Welder,Grommet,,False,True,True,True,,False,
25,Base,Base,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Mega_Stitch,Base,,,True,True,True,,,
26,Base,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,Long_Arm,RF_Welder,,False,True,True,True,False,,
27,Base,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,Sewing_Machine_,Base,,True,True,True,True,True,,
28,Base,Base,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Sewing_Machine_,Base,,True,True,True,True,True,,
29,Base,Mega_Stitch,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Grommet,Grommet,,True,True,True,True,True,,
30,Base,Mega_Stitch,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Sewing_Machine_,Grommet,,True,True,True,True,True,,
31,Base,Mega_Stitch,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Sewing_Machine_,Grommet,,True,True,True,True,True,,
32,Base,Mega_Stitch,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Long_Arm,Grommet,,True,True,True,True,True,,
33,Base,Mega_Stitch,Long_Arm,Long_Arm,Long_Arm,Mega_Stitch,Long_Arm,RF_Welder,,True,True,True,True,True,,
34,Base,Mega_Stitch,Base,Base,Base,Mega_Stitch,RF_Welder,RF_Welder,,True,False,False,False,True,,
35,Long_Arm,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Long_Arm,Mega_Stitch,Grommet,Long_Arm,False,True,,,False,True,,False
36,Base,Mega_Stitch,Base,Base,Base,Mega_Stitch,Grommet,RF_Welder,True,True,,,True,True,,True
37,Grommet,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Grommet,Mega_Stitch,Cutter,Grommet,True,True,,,True,True,,True
